source,date_crawl,titre,type_bien,prix,surface,prix_m2,nb_pieces,quartier,criteres,url
LeBonCoin,2026-03-10,Appartement 5 pièces 98 m²,Appartement,315000,98.0,,5,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3147341758
LeBonCoin,2026-03-10,Appartement 3 pièces 83 m²,Appartement,180000,83.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3067423532
LeBonCoin,2026-03-10,Immeuble 38 pièces 800 m²,Autre,3100000,800.0,,8,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/2974278966
LeBonCoin,2026-03-10,Studio 1 pièce 18 m²,Appartement,60000,18.0,,1,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/2760237151
LeBonCoin,2026-03-10,Maison 2 pièces 44 m²,Maison,179000,44.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3132465430
LeBonCoin,2026-03-10,Appartement 3 pièces 54 m²,Appartement,187700,54.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3129148364
LeBonCoin,2026-03-10,Vends local commercial / Appartement Toulon Centre,Appartement,139000,70.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159301426
LeBonCoin,2026-03-10,Appartement 3 pièces 68 m²,Appartement,256250,68.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3147797288
LeBonCoin,2026-03-10,Toulon Place de la Liberte,Appartement,530000,140.0,,5,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3135400565
LeBonCoin,2026-03-10,Appartement 5 pièces 103 m²,Appartement,266000,103.0,,5,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3074589323
LeBonCoin,2026-03-10,Appartement en viager 3 pièces 71 m²,Appartement,68000,71.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3073991717
LeBonCoin,2026-03-10,Appartement 2 pièces 40 m²,Appartement,120000,40.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3057126578
LeBonCoin,2026-03-10,Loft/atelier/surface 5 pièces 275 m²,Appartement,269000,275.0,,5,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3147035892
LeBonCoin,2026-03-10,Appartement 2 pièces 38 m²,Appartement,118500,38.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3155743489
LeBonCoin,2026-03-10,Appartement 1 pièce 36 m²,Appartement,76000,36.0,,1,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146449599
LeBonCoin,2026-03-10,Appartement 3 pièces 53 m²,Appartement,172000,53.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146294074
LeBonCoin,2026-03-10,Duplex 3 pièces 86 m²,Appartement,318000,86.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144501974
LeBonCoin,2026-03-10,Appartement 2 pièces 40 m²,Appartement,190000,40.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3141448364
LeBonCoin,2026-03-10,Toulon cap brun/ petit bois t1 en rez-de-jardin parking prive et cave,Appartement,139000,26.0,,1,cap brun,"parking/garage, jardin/terrasse, cave",https://www.leboncoin.fr/ad/ventes_immobilieres/3135394109
LeBonCoin,2026-03-10,Appartement 2 pièces 50 m²,Appartement,199000,50.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3130233263
LeBonCoin,2026-03-10,Appartement 4 pièces 72 m²,Appartement,182000,72.0,,4,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096504569
LeBonCoin,2026-03-10,Appartement 2 pièces 45 m²,Appartement,210000,45.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276003
LeBonCoin,2026-03-10,Appartement 2 pièces 51 m²,Appartement,162000,51.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276006
LeBonCoin,2026-03-10,Maison de ville 6 pièces 165 m²,Maison,1145000,165.0,,6,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276002
LeBonCoin,2026-03-10,Appartement 3 pièces 60 m²,Appartement,162000,60.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159272316
LeBonCoin,2026-03-10,Appartement 2 pièces 54 m²,Appartement,230000,54.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3130281807
LeBonCoin,2026-03-10,Appartement 5 pièces 97 m²,Appartement,398000,97.0,,5,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114622071
LeBonCoin,2026-03-10,Appartement 2 pièces 40 m²,Appartement,229000,40.0,,2,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3112000125
LeBonCoin,2026-03-10,Appartement 3 pièces 44 m²,Appartement,99900,44.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114671093
LeBonCoin,2026-03-10,Appartement 4 pièces 68 m²,Appartement,109000,68.0,,4,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/2998722331
LeBonCoin,2026-03-10,Appartement 41m2 centre ville de Toulon,Appartement,100000,41.0,,2,centre ville,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159262772
LeBonCoin,2026-03-10,Appartement 3 pièces 57 m²,Appartement,115000,57.0,,3,Non precise,,https://www.leboncoin.fr/ad/ventes_immobilieres/3128962533
