source,date_crawl,type_bien,nb_pieces,surface_m2,prix,prix_m2,quartier,criteres,titre,url
LeBonCoin,2026-03-09,Appartement,3.0,49.0,87000,1776.0,,,Appartement 3 pices 49 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3082005271
LeBonCoin,2026-03-09,Appartement,2.0,69.0,74300,1077.0,,,Appartement en viager 2 pices 69 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2848205409
LeBonCoin,2026-03-09,Maison,7.0,166.0,660000,3976.0,,,Villa 7 pices 166 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3155076959
LeBonCoin,2026-03-09,Appartement,3.0,67.0,536000,8000.0,,,Appartement 3 pices 67 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3123805406
LeBonCoin,2026-03-09,Appartement,6.0,260.0,450000,1731.0,,,Loft 6 pices 260 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2980531550
LeBonCoin,2026-03-09,Appartement,3.0,67.0,166000,2478.0,,"jardin/terrasse, ascenseur",Appartement 2/3 chambres - ascenseur - balcon - stationnement,https://www.leboncoin.fr/ad/ventes_immobilieres/3158664170
LeBonCoin,2026-03-09,Appartement,4.0,80.0,199000,2488.0,,,Appartement 4 pices 80 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3138370471
LeBonCoin,2026-03-09,Appartement,5.0,88.0,320000,3636.0,,,Appartement 5 pices 88 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3127054509
LeBonCoin,2026-03-09,Appartement,3.0,59.0,217000,3678.0,,,Appartement 3 pices 59 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3102310861
LeBonCoin,2026-03-09,Appartement,4.0,82.0,285000,3476.0,,,Appartement 4 pices 82 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3097402627
LeBonCoin,2026-03-09,Appartement,2.0,36.0,117000,3250.0,,,Appartement 2 pices 36 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2977220770
LeBonCoin,2026-03-09,Appartement,2.0,48.0,130000,2708.0,,,Appartement 2 pices 48 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158659511
LeBonCoin,2026-03-09,Appartement,2.0,47.0,48600,1034.0,,,Appartement en viager 2 pices 47 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3041393577
LeBonCoin,2026-03-09,Appartement,4.0,112.0,648000,5786.0,,,Appartement 4 pices 112 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3146661969
LeBonCoin,2026-03-09,Appartement,3.0,55.0,135000,2455.0,,,Appartement en Viager 3 pices 55 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2989313551
LeBonCoin,2026-03-09,Appartement,3.0,70.0,295000,4214.0,,,Appartement 3 pices 70 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3059596868
LeBonCoin,2026-03-09,Appartement,4.0,112.0,499000,4455.0,,jardin/terrasse,Toulon  Place de lOpra Superbe Appartement Haussmannien de 112 m avec balcon et grands volumes,https://www.leboncoin.fr/ad/ventes_immobilieres/3135408632
LeBonCoin,2026-03-09,Appartement,2.0,53.0,295000,5566.0,,,Appartement 2 pices 53 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158609684
LeBonCoin,2026-03-09,Appartement,1.0,25.0,82000,3280.0,,,Studio 1 pice 25 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158603084
LeBonCoin,2026-03-09,Appartement,4.0,73.0,232000,3178.0,,,Appartement 4 pices 73 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3095908157
LeBonCoin,2026-03-09,Appartement,4.0,94.0,582000,6191.0,,,Appartement - 4 pices - LA CLOSERAIE TOULON,https://www.leboncoin.fr/ad/ventes_immobilieres/3060351454
LeBonCoin,2026-03-09,Appartement,4.0,75.0,178000,2373.0,,,Appartement 4 pices 75 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158599284
LeBonCoin,2026-03-09,Appartement,2.0,47.0,167000,3553.0,,,Appartement 2 pices 47 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3062616967
LeBonCoin,2026-03-09,Appartement,3.0,82.0,328000,4000.0,,,Appartement 3 pices 82 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158564844
