source,date_annonce,date_crawl,titre,type_bien,type_achat,budget_max,surface_min,nb_pieces,quartier_souhaite,criteres,url,description,prix,surface,prix_m2,quartier,date_publication,surface_m2,segment
LeBonCoin,2026-02-16,2026-03-09,Appartement 4 pièces 95 m²,Appartement,Non précisé,599000.0,95 m²,4.0,Non précisé,,https://www.leboncoin.fr/ad/ventes_immobilieres/3145977768,,,,,,,,Acheteur premium
LeBonCoin,2026-02-25,2026-03-09,Appartement 2 pièces 58 m²,Appartement,Non précisé,169900.0,58 m²,2.0,Non précisé,,https://www.leboncoin.fr/ad/ventes_immobilieres/3151102909,,,,,,,,Acheteur intermédiaire
Facebook - Immobilier Toulon,2025-03-01,2025-03-09,Recherche appartement T3 Mourillon,Appartement,Résidence principale,280000.0,60,3.0,"mourillon, centre ville",jardin/terrasse,,"Bonjour, nous cherchons un T3 minimum 60m2 au Mourillon ou centre-ville, budget 280 000€, résidence principale. Terrasse ou balcon souhaité.",,,,,,,Acheteur intermédiaire
Facebook - Investissement immobilier Var,2025-02-20,2025-03-09,Cherche T2 investissement locatif Toulon,Appartement,Investissement locatif,150000.0,40,2.0,"brunet, pont du las",,,"Investisseur cherche T2 ou T3 pour mise en location, rendement brut minimum 5%, budget 150 000€ max. Quartier Brunet ou Pont du Las.",,,,,,,Investisseur
LeBonCoin,,2026-03-10,Appartement 2 pièces 38 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3155743489,,118500.0,38.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 1 pièce 36 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146449599,,76000.0,36.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 53 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146294074,,172000.0,53.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 3 pièces 86 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144501974,,318000.0,86.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 40 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3141448364,,190000.0,40.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Toulon cap brun/ petit bois t1 en rez-de-jardin parking prive et cave,Appartement,,,,1.0,,"parking/garage, jardin/terrasse, cave",https://www.leboncoin.fr/ad/ventes_immobilieres/3135394109,,139000.0,26.0,,cap brun,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 50 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3130233263,,199000.0,50.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 72 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096504569,,182000.0,72.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 81 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276016,,325000.0,81.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 30 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276009,,132000.0,30.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 45 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276003,,210000.0,45.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 35 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276036,,159000.0,35.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 51 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276006,,162000.0,51.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison de ville 6 pièces 165 m²,Maison,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159276002,,1145000.0,165.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 3 pièces 60 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159272316,,162000.0,60.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 54 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3130281807,,230000.0,54.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 97 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114622071,,398000.0,97.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 44 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3114671093,,99900.0,44.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 68 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2998722331,,109000.0,68.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 41m2 centre ville de Toulon,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159262772,,100000.0,41.0,,centre ville,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 57 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3128962533,,115000.0,57.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 77 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2944609158,,699000.0,77.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Toulon petit bois cap brun studio dernier etage exposé sud,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146997748,,135000.0,29.0,,cap brun,,,Non classifié
LeBonCoin,,2026-03-10,Toulon Centre La Gare / Bvd Strasbourg,Appartement,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3135407572,,685000.0,211.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 51 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3133043700,,143000.0,51.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 56 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3119828048,,117000.0,56.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 5 pièces 72 m²,Maison,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3059867717,,380000.0,72.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement de type 4 en exclusivité,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3151183388,,142000.0,85.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 71 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3150188614,,199900.0,71.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 44 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144247201,,129900.0,44.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 73 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3112000130,,210000.0,73.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 41 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3086501467,,183000.0,41.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 3 pièces 70 m²,Maison,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3121043495,,349000.0,70.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 4 pièces 84 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144160601,,124000.0,84.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 18 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159195422,,70573.0,18.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 42 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159188300,,145000.0,42.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 97 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3094798290,,465000.0,97.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Immeuble 2 pièces 339 m²,Autre,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3127308707,,499000.0,339.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 143 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/2943673974,,528000.0,143.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 1 pièce 14 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3101347724,,68000.0,14.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 113 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3087889235,,369000.0,113.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Toulon mourillon spacieux t5 116 m2,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3141603526,,455000.0,116.0,,mourillon,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 2 pièces 37 m²,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3068246094,,165000.0,37.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 85 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3147795822,,455000.0,85.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 54 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3146994433,,200000.0,54.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 57 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3136094857,,165000.0,57.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 152 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144751382,,550000.0,152.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Maison 5 pièces 88 m²,Maison,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3155223179,,470000.0,88.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Studio 1 pièce 32 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096505074,,109000.0,32.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Villa 9 pièces 223 m²,Maison,,,,9.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154645244,,900000.0,223.0,,Non precise,,,Chercheur maison/villa
LeBonCoin,,2026-03-10,Appartement 3 pièces 65 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3144098717,,159000.0,65.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 83 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159166195,,259000.0,83.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Studio 1 pièce 25 m²,Appartement,,,,1.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159161874,,82000.0,25.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 175 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3123966467,,598000.0,175.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Immeuble 42 m² Toulon,Autre,,,,,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096368456,,141500.0,42.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 62 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096657499,,155000.0,62.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 143 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096661140,,499000.0,143.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 65 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3096504513,,151000.0,65.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 82 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3154121067,,229000.0,82.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 80 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3110486693,,420000.0,80.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 100 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116421047,,315000.0,100.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement rénové échapée mer rue d'ALGER,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159072544,,159000.0,68.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 5 pièces 153 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116638670,,1490000.0,153.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement - 3 pièces - FERRYVILLE,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3150854757,,256000.0,59.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Duplex 5 pièces 120 m²,Appartement,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3142335271,,880000.0,120.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,T2 DE 50 M² TOULON LE MOURILLON parfait état,Appartement,,,,2.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3116316208,,165000.0,50.0,,mourillon,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 69 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3095911663,,169000.0,69.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,"Appartement, 100 m² à vendre ToulonC’est",Appartement,,,,6.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3159033113,,300000.0,100.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 3 pièces 72 m²,Appartement,,,,3.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3150593285,,169000.0,72.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,LMNP Toulon – Résidence étudiante GSA Alfred Nobel – Loyer 3 121 HT/an – 55 000 – Parking,Appartement,,,,1.0,,parking/garage,https://www.leboncoin.fr/ad/ventes_immobilieres/3156481224,,55000.0,18.39,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Appartement 4 pièces 96 m²,Appartement,,,,4.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3148233330,,479000.0,96.0,,Non precise,,,Non classifié
LeBonCoin,,2026-03-10,Villa 5 pièces 94 m²,Maison,,,,5.0,,,https://www.leboncoin.fr/ad/ventes_immobilieres/3113721615,,385000.0,94.0,,Non precise,,,Chercheur maison/villa
