type_bien,quartier,surface_m2,prix_vente,prix_m2,url
Appartement,Pont de Bois,69.0,205000,2971.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag755942-514349816?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,L'Escaillon,92.0,265000,2880.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3558?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,La Rode,102.0,299900,2940.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_3648_766?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Haute-ville,126.0,460000,3651.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-sixfours-390477?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Saint-Roch,47.0,129000,2745.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-390447?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Maison,Aguillon,85.0,385000,4529.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/entities-1039574-3669127?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Maison,Aguillon,98.0,397000,4051.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/entities-1039574-3669128?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Maison,L'Escaillon,149.0,454500,3050.0,https://www.bienici.com/annonce/vente/toulon/maison/8pieces/immo-facile-59873731?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Pont du Las,57.0,145000,2544.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-iboxliberte-390473?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,La Rode,55.0,117000,2127.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-IMMOBILIERE-DU-CAP-BRUN-114080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Le Cap Brun - Le Petit Bois,95.0,599000,6305.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-mourillon-390445?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Haute-ville,152.0,550000,3618.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag440414-513732254?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Autre bien,Aguillon,96.0,479000,4990.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942480-513686759?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Beaulieu,41.0,185500,4524.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-icietla83-39555?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Champs-de-Mars,44.0,129900,2952.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag311656-513616010?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Les Quatre Chemins,70.0,190000,2714.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/netty-company54396zsr-appt-32345?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
Appartement,Porte d'Italie,17.0,53000,3118.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/immo-facile-60016482?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35
