url,type_bien,quartier,surface,prix_total,prix_m2_final,date_publication,agence
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag942352-517542311?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Le Cap Brun - Le Petit Bois,53.0,295000,5566.0,2026-03-09,
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517534778?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Bon Rencontre,75.0,187000,2493.0,2026-03-09,
https://www.bienici.com/annonce/vente/toulon/maison/5pieces/century-21-202_3064_5051?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Sainte-Musse,85.0,348000,4079.0,2026-03-09,CENTURY 21 Colbert Immobilier
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_2305_3571?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Roch,40.0,172000,4300.0,2026-03-08,CENTURY 21 Ouest Immo
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP936809?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Claret,72.0,193000,2500.0,2026-03-06,Citya Estublier
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-2027408?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Autre,Saint-Jean du Var,24.0,96000,4000.0,2026-03-06,
https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-2020440?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Les Routes,91.0,370000,4066.0,2026-03-06,
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517060844?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Porte d'Italie,85.0,250000,2941.0,2026-03-06,
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/citya-immobilier-41039H-TAPP953655?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Saint-Jean du Var,41.0,75000,1659.0,2026-03-05,Citya Estublier
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP957816AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Jonquet - Guynemer,58.0,149000,2558.0,2026-03-05,Citya Estublier
https://www.bienici.com/annonce/vente/toulon/maison/5pieces/apimo-86796465?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Sainte-Anne,88.0,470000,5341.0,2026-03-04,IMMO LIBERTE
