"detailedSheetLink href","ad-overview-details__ad-title","ad-overview-details__address-title","ad-price__the-price","ad-price__price-per-square-meter","importDescriptionDecorator"
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag755942-514349816?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 69 m²","83200 Toulon (Pont de Bois)","205 000 €","2 971 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3558?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 92 m²","83200 Toulon (L'Escaillon)","265 000 €","2 880 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_3648_766?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 102 m²","83000 Toulon (La Rode)","299 900 €","2 945 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-sixfours-390477?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 126 m²","83000 Toulon (Haute-ville)","460 000 €","3 651 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-390447?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 2 pièces 47 m²","83000 Toulon (Saint-Roch)","129 000 €","2 719 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/entities-1039574-3669127?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Maison neuve 4 pièces 85 m²","83000 Toulon (Aguillon)","à partir de 385 000 €","","https://www.maisons-france-confort.fr/mentions-legales/"
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/entities-1039574-3669128?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Maison neuve 5 pièces 98 m²","83000 Toulon (Aguillon)","à partir de 397 000 €","","https://www.maisons-france-confort.fr/mentions-legales/"
"https://www.bienici.com/annonce/vente/toulon/maison/8pieces/immo-facile-59873731?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Maison 8 pièces 149 m²","83200 Toulon (L'Escaillon)","454 500 €","2 919 €/m²","0760900131"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-iboxliberte-390473?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 3 pièces 57 m²","83200 Toulon (Pont du Las)","145 000 €","2 529 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-IMMOBILIERE-DU-CAP-BRUN-114080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 2 pièces 55 m²","83000 Toulon (La Rode)","117 000 €","2 127 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-mourillon-390445?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 95 m²","83000 Toulon (Le Cap Brun - Le Petit Bois)","599 000 €","6 305 €/m²",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag440414-513732254?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Appartement 4 pièces 152 m²","83000 Toulon (Haute-ville)","550 000 €","3 618 €/m²","06 13 58 31 17"
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942480-513686759?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D35","Duplex 4 pièces 96 m²","83000 Toulon (Aguillon)","479 000 €","4 990 €/m²",""
