"detailedSheetLink href","ad-overview-details__ad-title","ad-overview-details__address-title","ad-price__the-price","ad-price__price-per-square-meter","ad-overview-description","importDescriptionDecorator","ad-overview-list__details-infos","ad-overview-list__details-infos 2","account-logo__display-name"
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag942352-517542311?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 2 pièces 53 m²","83000 Toulon (Le Cap Brun - Le Petit Bois)","295 000 €","5 566 €/m²","Découvrez ce superbe appartement de 2 pièces, niché dans le quartier très prisé du Cap Brun à Toulon. Offrant une surface de 53 m², ce bien en rez-de-jardin vous charmera par son vaste espace extérieur arboré, agrémenté de terrasses généreuses, parfait pour profiter d'un cadre de vie serein et verdoyant au sein d'une résidence recherchée avec ascenseur.

Dès votre arrivée, vous serez accueilli par une pièce de vie lumineuse de 20 m², qui s'ouvre harmonieusement sur le jardin et une grande terrasse, créant une continuité entre intérieur et extérieur. La cuisine américaine, entièrement équipée, est un espace convivial idéal pour des moments de partage en famille ou entre amis. La chambre, dotée de placards intégrés et d'un dressing, offre un accès direct à une salle d'eau moderne avec douche à l'italienne. Des toilettes indépendants complètent cet agencement ingénieux. Une cave en sous-sol offre un espace de rangement supplémentaire. L'appartement est équipé de la climatisation réversible, de menuiseries en double vitrage et de la fibre optique. Récemment rénové en 2023, il propose des prestations de qualité, prêtes à accueillir vos valises.

Le quartier du Cap Brun est un véritable havre de paix, tout en étant proche des commodités. À proximité, plusieurs écoles maternelles et élémentaires sont facilement accessibles, telles que l'École maternelle La Serinette à environ 500 m, l'École maternelle Cap Brun à près de 600 m, ainsi que les écoles élémentaires Cap Brun et François Nardi à environ 600 m. Les plages du Mourillon et la presqu'île des plages du Mourillon se trouvent à environ 700 m, tout comme le Cap Brun, le sentier des douaniers et l'anse Méjean, vous offrant un accès privilégié au bord de mer.

Caractéristiques techniques :

- DPE : C
- Taxe foncière : 1 283€
- Mode de chauffage : climatisation réversible

Mentions légales :

Les données officielles relatives aux aléas, contraintes et prescriptions d'urbanisme applicables à ce bien sont consultables sur www.georisques.gouv.fr. Ce service met à disposition des cartes et des documents destinés à situer le bien dans son environnement réglementaire et territorial. Ces éléments apportent une information complémentaire ; ils ne se substituent pas aux diagnostics techniques obligatoires ni aux contrôles administratifs que l'acquéreur ou ses conseils doivent réaliser. Annonce diffusée par Zefir.

Pour toute question, contactez Zefir au .","07 57 91 70 93","Publiée le 9 mars 2026","Modifiée le 9 mars 2026",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517534778?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 4 pièces 75 m²","83200 Toulon (Bon Rencontre)","187 000 €","2 493 €/m²","Découvrez ce superbe appartement de 75 m², niché au dernier étage d'une résidence sécurisée entre Toulon et La Seyne-sur-Mer. Avec son orientation plein sud, il baigne dans une lumière naturelle qui crée une ambiance chaleureuse et accueillante. La climatisation réversible garantit un confort optimal tout au long de l'année.

L'intérieur de cet appartement est à la fois flexible et charmant. Il se compose de deux chambres confortables et d'un vaste salon, offrant de nombreuses possibilités d'aménagement. Le séjour spacieux peut être transformé en une troisième chambre, répondant ainsi aux besoins des familles, des investisseurs ou des professionnels en quête d'un espace modulable. La cuisine séparée, entièrement équipée, et la salle de bain avec baignoire complètent cet ensemble harmonieux.

Les terrasses privatives, totalisant plus de 35 m², entourent l'appartement et constituent un cadre idéal pour profiter des journées ensoleillées en toute tranquillité.

Cet appartement bénéficie d'une localisation idéale, avec un accès facile aux grands axes vers Aix-en-Provence, Marseille et Nice. À proximité immédiate de l'arsenal de Toulon, du Naval Group, des commerces et des établissements scolaires, il permet une connexion rapide aux centres-villes dynamiques, aux ports et aux plages de Toulon et La Seyne-sur-Mer.

Caractéristiques techniques :
- Surface : 75 m²
- Étage : 3ᵉ (dernier étage)
- Terrasses : plus de 35 m²
- Cave : 7 m²
- Stationnement : libre et aisé dans parking sécurisé
- DPE : C
- Charges de copropriété : 247 € / mois comprenant chauffage et eau collectifs, ascenseur, employé d'immeuble.
- Taxe foncière : 1 605 €
- Année de construction : 1968

Mentions légales :

Les informations figurant dans cette annonce sont fournies à titre indicatif et peuvent être actualisées. Elles ne remplacent pas une expertise ni une vérification formelle : avant toute transaction, il est recommandé de faire réaliser une expertise préalable par un notaire, un géomètre ou un expert immobilier, et d'examiner les plans, le bornage ainsi que les règles locales d'urbanisme. Pour consulter les données officielles relatives aux risques et aux servitudes applicables au bien, rendez-vous sur www.georisques.gouv.fr. Annonce proposée par Zefir.

Pour toute question, contactez Zefir au .","07 57 91 70 93","Publiée le 9 mars 2026","Modifiée le 9 mars 2026",""
"https://www.bienici.com/annonce/vente/toulon/maison/5pieces/century-21-202_3064_5051?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Maison 5 pièces 85 m²","83100 Toulon (Sainte-Musse)","348 000 €","4 079 €/m²","EXCLUSIVITÉ - MAISON RECENTE - POSSIBILITÉ DE RÉAMENAGEMENTTOULON EST - Limitrophe à La Valette-du-VarVenez découvrir une MAISON RECENTE construite en 2013 d'environ 85m² offrant un cadre de vie idéal sur un terrain de 255m².Avec 4 CHAMBRES dont une SUITE PARENTALE de PLAIN-PIED, elle est parfaite pour une famille ou éventuellement pour de la colocation.Le rez-de-chaussée peut être réagencé selon vos besoins.Profitez d'une VÉRANDA LUMINEUSE et d'un STATIONNEMENT optimal dans le terrain.Les COMMODITÉS SONT PROCHES : transports, écoles, commerces, restaurants, boulangeries, boucheries et bureaux de poste sont à proximité.LES ENFANTS POURRONT S'AMUSER au Parc de Sainte-Musse, situé à seulement 300 mètres.Contactez-nous RAPIDEMENT pour plus d'informations et une visite !VISITE VIRTUELLE disponible sur demande !","","Publiée le 9 mars 2026","Modifiée le 9 mars 2026","CENTURY 21 Colbert Immobilier"
"https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_2305_3571?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 2 pièces 40 m²","83200 Toulon (Saint-Roch)","172 000 €","4 300 €/m²","Appartement T2 entièrement rénové avec jardin et piscine  Toulon Saint-RochSitué dans le quartier de Saint-Roch à Toulon, à proximité immédiate de L' Arsenal de Toulon et de toutes les commodités, découvrez ce charmant T2 entièrement rénové en rez-de-jardin.L'appartement se compose de :un séjour lumineux avec belle hauteur sous plafond,une chambre pleine de charme avec carreaux de ciment d'origine en parfait état et cheminée décorative,une cuisine indépendante ouvrant sur une agréable terrasse,une salle de bain,un jardin privatif d'environ 70 m² avec piscine, véritable atout rare dans le secteur.Ce bien conserve tout le cachet de l'ancien avec ses beaux volumes et sa hauteur sous plafond, tout en bénéficiant de rénovations récentes :électricité aux normes,double vitrage,isolation par l'extérieur.Une cave en sous-sol complète ce bien.Possibilité de louer une place de parking privative sécurisée juste en face de l'appartement (portail) pour 70 € par mois.Faibles charges.Idéal pour une résidence principale, un pied-à-terre ou un investissement locatif.","","Publiée le 8 mars 2026","Modifiée le 8 mars 2026","CENTURY 21 Ouest Immo"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP936809?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 3 pièces 72 m²","83000 Toulon (Claret)","193 000 €","2 500 €/m²","VENTE d'un appartement de standing T3 (67 m²) à Toulon - Claret, emplacements privilégié et lumineux. - Toulon - Claret - À VENDRE : Appartement de standing T3 situé dans le quartier prisé de Toulon - Claret, offrant un cadre de vie agréable et confortable. Ce bien immobilier se trouve dans un emplacement privilégié, à proximité des commodités et des transports en commun, facilitant ainsi vos déplacements au quotidien.

D'une superficie de 67 m², cet appartement se compose de trois pièces, dont une spacieuse chambre et un lumineux salon de 30 m² avec possibilité de 2ème chambre , idéal pour recevoir ou se détendre. La cuisine, séparée, vous permettra de préparer vos repas en toute tranquillité et sa loggia fermée . Vous apprécierez également la présence d'une salle d'eau avec fenêtre , 

Le chauffage est individuel, fonctionnant au gaz, avec des radiateurs pour un confort optimal durant les mois plus frais. Situé au troisième étage d'un immeuble de cinq étages avec ascenseur , cet appartement bénéficie d'une orientation est-ouest, garantissant une belle luminosité tout au long de la journée. De plus, l'immeuble est équipé d'un ascenseur, facilitant l'accès à votre futur chez-vous.
Prévoir rafraichissements
climatisation  séjour et chambre . volets électriques 
Pour votre confort, une cave est également incluse, offrant un espace de rangement supplémentaire. Cet appartement est non meublé, vous permettant de personnaliser l'espace selon vos goûts et vos besoins. Ne manquez pas cette opportunité d'acquérir un bien de qualité dans un secteur recherché de Toulon.
1 garage au rez de chaussée de la résidence est proposé en option avec porte motorisée (+30 000€).  Le bien est soumis au statut de la copropriété , la copropriété comporte 40 lots , la quote-part budget prévisionnel (dépenses courantes) est de 1 600,00 euros/an. 
 Le prix du bien net vendeur est de 180 000,00 euros plus 7,22% TTC d'honoraires charge acquéreur soit un prix total de 193 000,00 euros. 
Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :  . Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 716 et 973 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr","https://www.citya.com/agences-immobilieres/toulon-83137/154","Publiée le 6 mars 2026","Modifiée le 7 mars 2026","Citya Estublier"
"https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-2027408?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Studio 24 m²","83100 Toulon (Saint-Jean du Var)","96 000 €","4 000 €/m²","iad France - Ségolène Lorthioir vous propose: Studio meublé idéalement situé à Toulon, rénové, au 7ème et dernier étage avec ascenseur, vue sur le Faron.Cet appartement de 24m² est idéal pour les étudiants, les jeunes actifs ou les investisseurs.L'espace de vie principal est lumineux et situé au calme. La kitchenette est à la fois fonctionnelle et moderne. Studio entièrement meublé et équipé : machine à laver, réfrigérateur, plaques chauffantes, micro-ondes, évier, canapé clic-clac, étagères, meubles de rangements, table, chaises, bureau et placard intégré dans l’entrée. Avec son exposition Nord, vous bénéficierez d'une luminosité naturelle tout au long de la journée.L'immeuble est équipé d'un dispositif de sécurité comprenant digicode, résidence sécurisée, vidéo surveillance, ainsi qu'un gardien présent 4 jours sur 7. De plus, il existe un espace détente pour permettre de se rassembler et / ou d'étudier.Les points forts de ce bien résident dans sa situation idéale : à proximité de l'Université de Toulon  et , à seulement 1 minute des arrêts de bus et à 5 minutes des supermarchés pour vos courses quotidiennes.La résidence, parfaitement entretenue, permet de jouir d'un confort optimal et d'une sécurité renforcée. L'appartement étant en très bon état, aucun travaux ne sont à prévoir, offrant un cadre de vie serein et agréable dès votre emménagement.Les charges comprennent l'eau.Le stationnement est facilité avec la possibilité de louer une place de parking à proximité.Ne manquez pas l'opportunité d'acquérir ce studio moderne et fonctionnel.Contactez moi pour organiser une visite dès maintenant !La presente annonce immobiliere vise 1 lot situé dans une copropriété de 135 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 50€ par mois (soit 600 € annuel). Honoraires d'agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 175 et classe CLIMAT A indice 6. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Ségolène Lorthioir mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de Toulon sous le numéro 990874794, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.","","Publiée le 6 mars 2026","Modifiée le 7 mars 2026",""
"https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-2020440?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Maison 4 pièces 91 m²","83200 Toulon (Les Routes)","370 000 €","4 066 €/m²","iad France - Bruno Moullet vous propose: Maison COUP DE COEUR, entièrement rénovée, avec jardin.Vous recherchez un véritable cocon familial dans un environnement paisible, tout en restant proche des commodités ? Découvrez cette magnifique maison de 90 m², nichée dans un quartier résidentiel de Toulon.Répartie sur deux niveaux, cette maison entièrement rénovée offre un parfait équilibre entre charme contemporain et confort moderne. Dès l’entrée, vous serez séduit par sa vaste pièce de vie de 45 m² ouvrant sur l'extérieur, baigné de lumière grâce à son exposition plein Sud. Véritable cOEur de la maison, cet espace convivial invite à la détente et aux moments de partage en famille ou entre amis.Côté nuit, vous disposerez de trois chambres spacieuses, idéales pour accueillir une famille ou aménager un bureau selon vos besoins. Une salle de bains spacieuse et des wc séparés complètent l'ensemble.À l’extérieur, la terrasse aménagée de 15 m² est prolongée par un petit jardin paysager soigneusement entretenu.Idéale en résidence principale idéale ou en investissement de qualité, ce bien rare sur le secteur réunit tous les critères pour séduire. Une opportunité à ne pas manquer à Toulon.Disponible 7j/7, je suis à votre écoute pour organiser une visite ou répondre à vos questions.Vous souhaitez vendre, acheter ou estimer un bien à Toulon ? Contactez-moi pour un accompagnement sur mesure.Honoraires d'agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : classe ENERGIE B indice 83 et classe CLIMAT A indice 2. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Bruno Moullet mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 899572929, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.","","Publiée le 6 mars 2026","Modifiée le 6 mars 2026",""
"https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517060844?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 4 pièces 85 m²","83000 Toulon (Porte d'Italie)","250 000 €","2 941 €/m²","Découvrez cet appartement T4 de 85 m², idéalement situé dans une résidence paisible et sécurisée de Toulon. Niché au premier étage d'un immeuble de sept étages avec ascenseur, ce bien vous offre un cadre de vie serein à deux pas des commodités du centre Mayol et des plages ensoleillées du Mourillon.

La pièce de vie, baignée de lumière, s'étend sur 20 m² et s'ouvre sur un balcon de 6 m² orienté plein sud, parfait pour profiter de moments de détente ou de repas en plein air. Les trois chambres, dont deux avec accès direct au balcon, offrent une vue dégagée sur le Faron, sans vis-à-vis, et permettent une grande flexibilité d'aménagement selon vos besoins.

Le quartier est très prisé, avec des établissements scolaires allant de la maternelle au lycée à moins de 100 m, ainsi qu'un accès facile aux commerces, services et transports en commun. Les parcs et espaces verts à proximité ajoutent au charme de cet environnement de vie.

Caractéristiques techniques :

- Type de bien : Appartement
- Surface : 85 m²
- Nombre de pièces : 4
- Nombre de chambres : 3
- Salle de bains : 1
- Construction : 1991
- Étage : 1er sur 7 avec ascenseur
- Balcon : 6 m², Terrasse : 8 m²
- Consommation énergétique : B, Gaz à effet de serre : A
- Équipements : Double vitrage, fibre optique, placards intégrés, cuisine équipée

Mentions légales :

Les renseignements officiels concernant les risques naturels, technologiques et sismiques sont consultables sur le site Géorisques (www.georisques.gouv.fr). Les informations figurant dans cette annonce ont un caractère informatif et ne sauraient engager la responsabilité contractuelle du vendeur ou de tout partenaire. Il appartient à l'acheteur d'effectuer ses propres vérifications techniques et administratives avant toute décision.

Pour toute question, contactez Zefir au .","07 57 91 70 93","Publiée le 6 mars 2026","Modifiée le 6 mars 2026",""
"https://www.bienici.com/annonce/vente/toulon/appartement/1piece/citya-immobilier-41039H-TAPP953655?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 1 pièce 41 m²","83100 Toulon (Saint-Jean du Var)","75 000 €","1 659 €/m²","À vendre : Appartement T1 de 40 m² à Toulon - St Jean du Var, lumineux et au dernier étage ! - Toulon - St Jean du Var - À VENDRE : Appartement T1 situé à Toulon, dans le quartier prisé de St Jean du Var. Ce bien immobilier, construit en 1900, offre un charme indéniable grâce à son architecture classique. Avec une superficie totale de 40 m², cet appartement est idéal pour une personne seule ou un couple à la recherche d'un premier logement.

L'appartement se compose d'une pièce principale spacieuse de 25 m², qui peut être aménagée selon vos goûts et vos besoins. La cuisine américaine, ouverte sur le séjour, permet de créer un espace convivial et chaleureux, parfait pour recevoir vos amis ou profiter de moments de détente. La salle d'eau, bien agencée, est équipée d'une douche, offrant un confort optimal.

Situé au deuxième et dernier étage d'un immeuble sans ascenseur, cet appartement bénéficie d'une orientation sud, garantissant une luminosité agréable tout au long de la journée. Le chauffage est individuel, avec un système électrique par radiateurs, vous permettant de réguler la température selon vos préférences.

vendu meublé en l'état cet appartement offre une toile vierge pour que vous puissiez y apporter votre touche personnelle. De plus, il est situé dans une résidence calme, sans nuisances, ce qui en fait un lieu de vie paisible. 

N'attendez plus pour visiter ce bien qui allie charme, confort et praticité, et qui saura répondre à vos attentes en matière de logement.  Le bien est soumis au statut de la copropriété , la copropriété comporte 14 lots , la quote-part budget prévisionnel (dépenses courantes) est de 528,00 euros/an. 
 Le prix du bien net vendeur est de 68 000,00 euros plus 10,29% TTC d'honoraires charge acquéreur soit un prix total de 75 000,00 euros. 
Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :  . Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 040 et 1 460 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr","https://www.citya.com/agences-immobilieres/toulon-83137/154","Publiée le 5 mars 2026","Modifiée le 6 mars 2026","Citya Estublier"
"https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP957816AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0","Appartement 3 pièces 58 m²","83200 Toulon (Jonquet - Guynemer)","149 000 €","2 558 €/m²","Exclusivité Toulon ouest/Les Primeroses T3+cave+ option garage - Dans un ensemble immobilier sécurisé avec un parc magnifique et stationnements se trouve ce logement de type 3 pièces au dernier étage. Totalisant 58 m², il offrira à son futur propriétaire le choix des aménagements et mise en modernisation pour lui redonner un charme actualisé. Volets roulants motorisés et double vitrage installés. Exposé est/ouest, il bénéficie d'un ensoleillement toute le journée. Le séjour climatisé ouvre sur un balcon et la cuisine sur une loggia fermée. Une des deux chambres climatisée totalise presque 12m². Les plus qui garantissent rangement et stationnement, la cave et le garage est proposé en option supplémentaire au prix de 25 000€ si acheté avec le logement.  Le bien est soumis au statut de la copropriété , la copropriété comporte 138 lots , la quote-part budget prévisionnel (dépenses courantes) est de 1 741,00 euros/an. 
 Honoraires à la charge du vendeur. 
Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :  . Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 109 et 1 501 euros. Prix moyens des énergies indexés en 2023. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr","https://www.citya.com/agences-immobilieres/toulon-83137/154","Publiée le 5 mars 2026","Modifiée le 6 mars 2026","Citya Estublier"
