url,quartier,surface,prix_annonce_m2,prix_marche_m2,ecart_m2,ecart_pct
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517534778?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Bon Rencontre,75.0,2493.0,2111.78,381.22,18.05
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_2305_3571?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,40.0,4300.0,2696.51,1603.49,59.47
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517060844?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,85.0,2941.0,2032.32,908.68,44.71
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/citya-immobilier-41039H-TAPP953655?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,41.0,1659.0,5445.2,-3786.2,-69.53
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2023702?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,83.0,2108.0,2499.57,-391.57,-15.67
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2023241?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,41.0,3878.0,2442.54,1435.46,58.77
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_3064_5007?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,La Rode,70.0,2996.0,3529.76,-533.76,-15.12
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2020890?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,50.0,2980.0,3684.0,-704.0,-19.11
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/citya-immobilier-41039H-TAPP961596?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,38.0,3000.0,2703.47,296.53,10.97
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-bretteimmobilieranne-19935?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,50.0,2578.0,2575.62,2.38,0.09
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/citya-immobilier-41039H-TAPP946334A?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,54.0,2306.0,2515.11,-209.11,-8.31
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/citya-immobilier-41039H-TAPP967570?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,43.0,3239.0,5533.78,-2294.78,-41.47
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2017196?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Aguillon,45.0,3278.0,3416.04,-138.04,-4.04
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-bretteimmobilieranne-19826?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Bon Rencontre,89.0,1776.0,2288.7,-512.7,-22.4
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1989996?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,63.0,3317.0,3185.85,131.15,4.12
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1990217?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Aguillon,61.0,3607.0,2696.34,910.66,33.77
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1985705?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,55.0,2709.0,3588.7,-879.7,-24.51
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1980140?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,81.0,2346.0,2478.67,-132.67,-5.35
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gustonimmobilier-5254?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,54.0,2463.0,3151.07,-688.07,-21.84
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1964816?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,50.0,2600.0,3209.24,-609.24,-18.98
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1979039?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,32.0,3094.0,5027.75,-1933.75,-38.46
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP950392AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,55.0,2178.0,5251.31,-3073.31,-58.52
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1970220?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Valbertrand,80.0,2563.0,2344.83,218.17,9.3
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1964312?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,49.0,2429.0,2578.51,-149.51,-5.8
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1962081?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,82.0,2183.0,2488.63,-305.63,-12.28
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1960344?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,62.0,2710.0,2180.61,529.39,24.28
https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-mourillon-388558?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,120.0,5458.0,4697.59,760.41,16.19
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gustonimmobilier-5246?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,58.0,2397.0,3160.92,-763.92,-24.17
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1939681?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,34.0,2794.0,5027.75,-2233.75,-44.43
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1930499?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,84.0,2679.0,3682.93,-1003.93,-27.26
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1934571?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,47.0,1904.0,2619.07,-715.07,-27.3
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1902259?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,65.0,2431.0,3214.03,-783.03,-24.36
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1931136?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,52.0,3250.0,2525.46,724.54,28.69
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_3064_4764?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,38.0,3124.0,2703.47,420.53,15.55
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1924486?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,84.0,1964.0,3377.53,-1413.53,-41.85
https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-jessymmo_1-133?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,98.0,3051.0,4019.6,-968.6,-24.1
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-consult-23550?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D5%26camera%3D8_4.5866739_43.1085545_0_0,La Rode,96.0,2813.0,4032.46,-1219.46,-30.24
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1881011?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Beaulieu,59.0,2780.0,4032.36,-1252.36,-31.06
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gabrieleimmo-421?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,48.0,2063.0,5539.33,-3476.33,-62.76
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1846075?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,34.0,2912.0,3828.32,-916.32,-23.94
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1817801?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,45.0,5322.0,2675.8,2646.2,98.89
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag133861-517463609?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,72.0,1944.0,2454.11,-510.11,-20.79
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2022407?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,65.0,2231.0,3214.03,-983.03,-30.59
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1613205?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,45.0,2867.0,2342.63,524.37,22.38
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/safti-1-1611200?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,38.0,2368.0,4249.0,-1881.0,-44.27
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-iboxliberte-390627?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D6%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,87.0,3506.0,2203.61,1302.39,59.1
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/era-2-60012977?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,La Rode,85.0,3286.0,4035.42,-749.42,-18.57
https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/safti-1-1610595?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,87.0,2931.0,2203.61,727.39,33.01
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/netty-company50574bxt-appt-2117?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,82.0,2720.0,4886.69,-2166.69,-44.34
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-2015885?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Valbertrand,81.0,2778.0,2347.63,430.37,18.33
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_3648_801?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,La Rode,90.0,2711.0,4209.0,-1498.0,-35.59
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-2009117?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,82.0,2195.0,1984.0,211.0,10.64
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/immo-facile-60010696?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Valbertrand,67.0,2767.0,2356.7,410.3,17.41
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lessablettes-390348?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,95.0,2842.0,4009.46,-1167.46,-29.12
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-atlasimmobilier-390031?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,71.0,3042.0,2449.8,592.2,24.17
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2001541?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D7%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,31.0,2742.0,2649.62,92.38,3.49
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag832778-511242071?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,64.0,2172.0,2440.98,-268.98,-11.02
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lpaimmo-27295?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,74.0,2757.0,4865.17,-2108.17,-43.33
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/netty-company53630wyb-appt-2657?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,43.0,3576.0,2261.15,1314.85,58.15
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_3064_4985?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,45.0,2166.0,3750.67,-1584.67,-42.25
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_3064_4984?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Champs-de-Mars,40.0,2551.0,3973.21,-1422.21,-35.8
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/netty-company53630wyb-appt-2640?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,90.0,2272.0,3480.13,-1208.13,-34.72
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1995169?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,45.0,4556.0,3191.73,1364.27,42.74
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1992410?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D8%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,39.0,3564.0,4317.71,-753.71,-17.46
