date_mutation,annee,mois,type_bien,prix_vente,surface_m2,prix_m2,quartier,adresse
2025-06-30,2025,2025-06,Appartement (T3-T4),802056.0,113.0,7098.0,Sainte-Musse,Bd Sainte Helene
2025-06-30,2025,2025-06,Appartement (T2-T3),125000.0,49.0,2551.0,Porte d'Italie,Av Nobel
2025-06-30,2025,2025-06,Studio,61000.0,27.0,2259.0,Saint-Roch,Av Du 1Er Bataillon Choc
2025-06-30,2025,2025-06,Appartement (T3-T4),395000.0,82.0,4817.0,Haute-ville,Rue Theophile Gautier
2025-06-30,2025,2025-06,Grande surface / Maison,749700.0,173.0,4334.0,Sect. DT,Che De La Beaucaire
2025-06-30,2025,2025-06,Appartement (T2-T3),134000.0,42.0,3190.0,Saint-Roch,Av Des Roses
2025-06-30,2025,2025-06,Appartement (T3-T4),460000.0,65.0,7077.0,Cap Brun,Rue Elzear Jouveau
2025-06-27,2025,2025-06,Appartement (T2-T3),90000.0,52.0,1731.0,Saint-Roch,Rue Fernand Sardou
2025-06-27,2025,2025-06,Appartement (T3-T4),141000.0,65.0,2169.0,Sect. DS,Che De Forgentier
2025-06-27,2025,2025-06,Appartement (T3-T4),330000.0,80.0,4125.0,Bon Rencontre,Av De La Republique
2025-06-26,2025,2025-06,Appartement (T2-T3),55000.0,50.0,1100.0,Bon Rencontre,Rue Nicolas Laugier
2025-06-26,2025,2025-06,Grande surface / Maison,232000.0,121.0,1917.0,Saint-Antoine,Av Vauban
2025-06-26,2025,2025-06,Bien exceptionnel,145000.0,285.0,509.0,Bon Rencontre,Rue Nicolas Laugier
2025-06-26,2025,2025-06,Appartement (T2-T3),145000.0,52.0,2788.0,Porte d'Italie,Rue Vincent Scotto
2025-06-26,2025,2025-06,Appartement (T3-T4),155000.0,77.0,2013.0,Sect. DT,Av Lt Colonel Chabriel
2025-06-26,2025,2025-06,Appartement (T3-T4),95000.0,67.0,1418.0,Saint-Antoine,Av Jean Moulin
2025-06-26,2025,2025-06,Appartement (T3-T4),110000.0,68.0,1618.0,Bon Rencontre,Rue Des Riaux
2025-06-26,2025,2025-06,Appartement (T2-T3),185000.0,63.0,2937.0,Pont du Las,Av Louis Bozzo
2025-06-26,2025,2025-06,Appartement (T3-T4),235000.0,74.0,3176.0,Sect. DS,Tra Richard
2025-06-26,2025,2025-06,Appartement (T3-T4),125000.0,68.0,1838.0,Saint-Roch,Bd De Paris
2025-06-25,2025,2025-06,Studio,97000.0,25.0,3880.0,La Chapelle,Bd Marechal Joffre
2025-06-25,2025,2025-06,Appartement (T3-T4),290000.0,75.0,3867.0,La Serinette,Bd Eugene Pelletan
2025-06-25,2025,2025-06,Appartement (T3-T4),251500.0,89.0,2826.0,Pont du Las,Che De La Chartreuse
2025-06-24,2025,2025-06,Appartement (T2-T3),87000.0,33.0,2636.0,Haute-ville,Rue Saint Laurent
2025-06-24,2025,2025-06,Appartement (T3-T4),150000.0,68.0,2206.0,Saint-Roch,Bd De Paris
2025-06-24,2025,2025-06,Appartement (T2-T3),160000.0,48.0,3333.0,Bon Rencontre,Rue De La Glaciere
2025-06-24,2025,2025-06,Studio,100710.0,19.0,5301.0,Le Mourillon,Che De La Ressence
2025-06-23,2025,2025-06,Grande surface / Maison,90000.0,159.0,566.0,La Chapelle,Bd Marechal Joffre
