date_mutation,budget,surface,quartier,adresse_nom_voie
2025-06-30,802056.0,113.0,Section 000BV,BD SAINTE HELENE
2025-06-30,49000.0,0.0,Section 000AP,AV HENRI MATHIS
2025-06-30,125000.0,49.0,Section 000CD,AV NOBEL
2025-06-30,61000.0,27.0,Section 000CW,AV DU 1ER BATAILLON CHOC
2025-06-30,20000.0,0.0,Section 000AT,RUE DU CAPITAINE GAULD
2025-06-30,395000.0,82.0,Section 000CZ,RUE THEOPHILE GAUTIER
2025-06-30,749700.0,173.0,Section 000DT,CHE DE LA BEAUCAIRE
2025-06-30,134000.0,42.0,Section 000AO,AV DES ROSES
2025-06-30,438750.0,0.0,Section 000BK,AV DE LA RESISTANCE
2025-06-30,460000.0,65.0,Section 000BI,RUE ELZEAR JOUVEAU
2025-06-27,90000.0,52.0,Section 000CX,RUE FERNAND SARDOU
2025-06-27,141000.0,65.0,Section 000DS,CHE DE FORGENTIER
2025-06-27,330000.0,80.0,Section 000CM,AV DE LA REPUBLIQUE
2025-06-27,24000.0,0.0,Section 000EM,CHE DE LA MAJOURANE
2025-06-26,55000.0,50.0,Section 000CN,RUE NICOLAS LAUGIER
2025-06-26,232000.0,121.0,Section 000CO,AV VAUBAN
2025-06-26,145000.0,285.0,Section 000CN,RUE NICOLAS LAUGIER
2025-06-26,145000.0,52.0,Section 000CD,RUE VINCENT SCOTTO
2025-06-26,155000.0,77.0,Section 000DT,AV LT COLONEL CHABRIEL
2025-06-26,95000.0,67.0,Section 000CO,AV JEAN MOULIN
2025-06-26,110000.0,68.0,Section 000CN,RUE DES RIAUX
2025-06-26,185000.0,63.0,Section 000AR,AV LOUIS BOZZO
2025-06-26,235000.0,74.0,Section 000DS,TRA RICHARD
2025-06-26,28000.0,0.0,Section 000BR,CHE DE L ALMA
2025-06-26,125000.0,68.0,Section 000CX,BD DE PARIS
2025-06-25,21500.0,0.0,Section 000BT,BD JULES MICHELET
2025-06-25,97000.0,25.0,Section 000CH,BD MARECHAL JOFFRE
2025-06-25,290000.0,75.0,Section 000BX,BD EUGENE PELLETAN
2025-06-25,251500.0,89.0,Section 000BP,CHE DE LA CHARTREUSE
2025-06-24,87000.0,33.0,Section 000CY,RUE SAINT LAURENT
2025-06-24,150000.0,68.0,Section 000CX,BD DE PARIS
2025-06-24,160000.0,48.0,Section 000CN,RUE DE LA GLACIERE
2025-06-24,34000.0,0.0,Section 000CV,AV ARISTIDE BRIAND
2025-06-24,100710.0,19.0,Section 000BD,CHE DE LA RESSENCE
2025-06-23,90000.0,159.0,Section 000CH,BD MARECHAL JOFFRE
2025-06-23,22000.0,0.0,Section 000BZ,AV EDOUARD LE BELLEGOU
2025-06-23,160000.0,76.0,Section 000CO,RUE JEAN JAURES
2025-06-23,86000.0,29.0,Section 000CN,RUE DE POMET
2025-06-23,75000.0,25.0,Section 000CN,RUE LOUIS JOURDAN
2025-06-23,76000.0,28.0,Section 000CL,RUE SAINT VINCENT
2025-06-20,115000.0,33.0,Section 000CN,RUE D ALGER
2025-06-20,355000.0,225.0,Section 000CP,RUE XAVIER SAVELLI
2025-06-20,127000.0,69.0,Section 000CP,AV MARECHAL LYAUTEY
2025-06-20,73000.0,105.0,Section 000AY,BD DES ARMARIS
2025-06-20,580000.0,120.0,Section 000BV,RUE PAUL MARCHELLI
2025-06-20,894000.0,160.0,Section 000BS,RUE GUSTAVE ZEDE
2025-06-20,138000.0,70.0,Section 000CI,BD ROBESPIERRE
2025-06-20,162000.0,67.0,Section 000AV,RUE DE NICE
2025-06-20,235000.0,330.0,Section 000CD,RUE HENRI POINCARE
2025-06-20,110000.0,46.0,Section 000CY,RUE DU ROI RENE
2025-06-20,215377.0,77.0,Section 000AZ,BD DES ARMARIS
2025-06-19,79000.0,32.0,Section 000CN,RUE CHARLES PONCY
2025-06-19,12000.0,75.0,Section 000CL,RUE JEAN AICARD
2025-06-19,65000.0,19.0,Section 000CM,PL DE LA POISSONNERIE
2025-06-19,146300.0,44.0,Section 000CX,AV AUGUSTE BLANQUI
2025-06-19,85000.0,39.0,Section 000BZ,PL LOUIS PASTEUR
2025-06-19,102000.0,90.0,Section 000CH,BD MARECHAL JOFFRE
2025-06-19,566000.0,110.0,Section 000AO,PL LT ROGER LAURET
2025-06-19,177000.0,62.0,Section 000DV,CHE DE RIGOUMEL
2025-06-19,16000.0,0.0,Section 000CI,RUE ROSSINI
2025-06-19,356800.0,58.0,Section 000BN,AV DE LA RESISTANCE
2025-06-19,288500.0,72.0,Section 000BV,RUE JOSEPHINE
2025-06-19,100766.0,76.0,Section 000AS,RUE BOURSSET
2025-06-18,437000.0,70.0,Section 000BT,BD JULES MICHELET
2025-06-17,32000.0,0.0,Section 000CY,AV DU MARECHAL FOCH
2025-06-17,93600.0,21.0,Section 000CI,RUE MAISSIN
2025-06-17,235000.0,57.0,Section 000BH,BD JEAN BAPTISTE ABEL
2025-06-17,414900.0,93.0,Section 000BP,CHE DE LA CHARTREUSE
2025-06-17,24000.0,0.0,Section 000DH,AV PRE FAUCHIER
2025-06-16,140000.0,39.0,Section 000AO,RUE THOULON
2025-06-16,399200.0,70.0,Section 000AR,RUE MICHEL MUSCATELLI
2025-06-16,27000.0,0.0,Section 000CH,BD LEOPOLD GENCE
2025-06-16,76000.0,43.0,Section 000CY,AV DOCTEUR FONTAN
2025-06-16,167000.0,79.0,Section 000BC,CHE DE FLORE
2025-06-16,240000.0,43.0,Section 000BH,BD CLAMOUR
2025-06-16,24000.0,0.0,Section 000BR,CHE DE L ALMA
2025-06-16,610000.0,80.0,Section 000BO,CHE DE LA CALADE
2025-06-16,130000.0,51.0,Section 000CL,CRS LAFAYETTE
2025-06-16,150000.0,0.0,Section 000DI,AV CLOVIS HUGUES
2025-06-16,140000.0,35.0,Section 000BX,COR LITTORAL FREDERIC MISTRAL
2025-06-13,348000.0,92.0,Section 000BD,CHE DE LA RESSENCE
2025-06-13,85000.0,33.0,Section 000CH,BD MARECHAL JOFFRE
2025-06-13,440000.0,204.0,Section 000DE,CHE DU FORT ROUGE
2025-06-13,270000.0,88.0,Section 000AR,RUE DU DOCTEUR BARROIS
